Unit_ID,District,Subdistrict,Village_No,Unit_No,Latitude,Longitude,Eligible_Voters,Voters_Showed_Up,Allocated_Ballots,Used_Ballots,Valid_Ballots,Invalid_Ballots,No_Vote_Ballots,Remaining_Ballots
KK10_CONST_หนองสองห้อง_คึมชาด_M2_U2,หนองสองห้อง,คึมชาด,2,2,15.7833,102.8917,385.0,274.0,400,274,261,6,7,126
KK10_CONST_หนองสองห้อง_คึมชาด_M3_U3,หนองสองห้อง,คึมชาด,3,3,15.7833,102.8917,631.0,363.0,600,363,351,8,4,237
KK10_CONST_หนองสองห้อง_คึมชาด_M4_U4,หนองสองห้อง,คึมชาด,4,4,15.7833,102.8917,588.0,361.0,580,361,348,12,1,219
KK10_CONST_หนองสองห้อง_คึมชาด_M5_U5,หนองสองห้อง,คึมชาด,5,5,15.7833,102.8917,654.0,361.0,620,361,351,7,3,259
KK10_CONST_หนองสองห้อง_คึมชาด_M6_U6,หนองสองห้อง,คึมชาด,6,6,15.7833,102.8917,668.0,421.0,640,421,402,16,3,219
KK10_CONST_หนองสองห้อง_คึมชาด_M7_U7,หนองสองห้อง,คึมชาด,7,7,15.7833,102.8917,615.0,355.0,580,355,337,13,5,225
KK10_CONST_หนองสองห้อง_คึมชาด_M8_U8,หนองสองห้อง,คึมชาด,8,8,15.7833,102.8917,371.0,220.0,360,220,214,4,2,140
KK10_CONST_หนองสองห้อง_คึมชาด_M9_U9,หนองสองห้อง,คึมชาด,9,9,15.7833,102.8917,664.0,414.0,680,414,389,17,8,266
KK10_CONST_หนองสองห้อง_ดงเค็ง_M10_U10,หนองสองห้อง,ดงเค็ง,10,10,15.7667,102.825,220.0,134.0,220,134,126,7,1,86
KK10_CONST_หนองสองห้อง_ดงเค็ง_M11_U11,หนองสองห้อง,ดงเค็ง,11,11,15.7667,102.825,323.0,189.0,300,189,179,7,3,111
KK10_CONST_หนองสองห้อง_ดงเค็ง_M12_U12,หนองสองห้อง,ดงเค็ง,12,12,15.7667,102.825,208.0,100.0,220,100,98,2,0,120
KK10_CONST_หนองสองห้อง_ดงเค็ง_M13_U13,หนองสองห้อง,ดงเค็ง,13,13,15.7667,102.825,547.0,337.0,520,337,325,8,4,183
KK10_CONST_หนองสองห้อง_ดงเค็ง_M1_U1,หนองสองห้อง,ดงเค็ง,1,1,15.7667,102.825,464.0,245.0,500,245,231,8,6,255
KK10_CONST_หนองสองห้อง_ดงเค็ง_M2_U2,หนองสองห้อง,ดงเค็ง,2,2,15.7667,102.825,538.0,291.0,500,291,276,12,3,209
KK10_CONST_หนองสองห้อง_ดงเค็ง_M3_U3,หนองสองห้อง,ดงเค็ง,3,3,15.7667,102.825,533.0,275.0,520,275,264,9,2,245
KK10_CONST_หนองสองห้อง_ดงเค็ง_M4_U4,หนองสองห้อง,ดงเค็ง,4,4,15.7667,102.825,186.0,97.0,180,97,89,7,1,83
KK10_CONST_หนองสองห้อง_ดงเค็ง_M5_U5,หนองสองห้อง,ดงเค็ง,5,5,15.7667,102.825,529.0,272.0,520,272,260,9,3,248
KK10_CONST_หนองสองห้อง_ดงเค็ง_M2_U6,หนองสองห้อง,ดงเค็ง,2,6,15.7667,102.825,392.0,209.0,360,209,197,9,3,151
KK10_CONST_หนองสองห้อง_ดงเค็ง_M7_U7,หนองสองห้อง,ดงเค็ง,7,7,15.7667,102.825,701.0,408.0,660,408,391,13,4,252
KK10_CONST_หนองสองห้อง_ดงเค็ง_M8_U8,หนองสองห้อง,ดงเค็ง,8,8,15.7667,102.825,482.0,270.0,410,270,252,11,7,140
KK10_CONST_หนองสองห้อง_ดงเค็ง_M1_U9,หนองสองห้อง,ดงเค็ง,1,9,15.7667,102.825,269.0,165.0,280,165,156,7,2,115
