Unit_ID,Candidate_Number,Candidate_Name,Score
KK10_CONST_โนนศิลา_หนองปลาหมอ_M6_U6,1,นายวันนิวัติ สมบูรณ์,129
KK10_CONST_โนนศิลา_หนองปลาหมอ_M6_U6,2,ร.ต.ท.สงวน คมขาว,0
KK10_CONST_โนนศิลา_หนองปลาหมอ_M6_U6,3,นายนิวัตร สระพรม,33
KK10_CONST_โนนศิลา_หนองปลาหมอ_M6_U6,4,นายวิระศักดิ์ สายทอง,4
KK10_CONST_โนนศิลา_หนองปลาหมอ_M6_U6,5,นายพชรกร อรรณนพพร,159
KK10_CONST_โนนศิลา_หนองปลาหมอ_M6_U6,6,นายประยูร เทียมทะนง,0
KK10_CONST_โนนศิลา_หนองปลาหมอ_M7_U7,1,นายวันนิวัติ สมบูรณ์,118
KK10_CONST_โนนศิลา_หนองปลาหมอ_M7_U7,2,ร.ต.ท.สงวน คมขาว,1
KK10_CONST_โนนศิลา_หนองปลาหมอ_M7_U7,3,นายนิวัตร สระพรม,29
KK10_CONST_โนนศิลา_หนองปลาหมอ_M7_U7,4,นายวิระศักดิ์ สายทอง,2
KK10_CONST_โนนศิลา_หนองปลาหมอ_M7_U7,5,นายพชรกร อรรณนพพร,97
KK10_CONST_โนนศิลา_หนองปลาหมอ_M7_U7,6,นายประยูร เทียมทะนง,0
KK10_CONST_โนนศิลา_หนองปลาหมอ_M8_U8,1,นายวันนิวัติ สมบูรณ์,139
KK10_CONST_โนนศิลา_หนองปลาหมอ_M8_U8,2,ร.ต.ท.สงวน คมขาว,1
KK10_CONST_โนนศิลา_หนองปลาหมอ_M8_U8,3,นายนิวัตร สระพรม,29
KK10_CONST_โนนศิลา_หนองปลาหมอ_M8_U8,4,นายวิระศักดิ์ สายทอง,4
KK10_CONST_โนนศิลา_หนองปลาหมอ_M8_U8,5,นายพชรกร อรรณนพพร,122
KK10_CONST_โนนศิลา_หนองปลาหมอ_M8_U8,6,นายประยูร เทียมทะนง,1
KK10_CONST_โนนศิลา_เปือยใหญ่_M1_U1,1,นายวันนิวัติ สมบูรณ์,85
KK10_CONST_โนนศิลา_เปือยใหญ่_M1_U1,2,ร.ต.ท.สงวน คมขาว,1
KK10_CONST_โนนศิลา_เปือยใหญ่_M1_U1,3,นายนิวัตร สระพรม,22
KK10_CONST_โนนศิลา_เปือยใหญ่_M1_U1,4,นายวิระศักดิ์ สายทอง,16
KK10_CONST_โนนศิลา_เปือยใหญ่_M1_U1,5,นายพชรกร อรรณนพพร,162
KK10_CONST_โนนศิลา_เปือยใหญ่_M1_U1,6,นายประยูร เทียมทะนง,0
KK10_CONST_โนนศิลา_เปือยใหญ่_M2_U2,1,นายวันนิวัติ สมบูรณ์,40
KK10_CONST_โนนศิลา_เปือยใหญ่_M2_U2,2,ร.ต.ท.สงวน คมขาว,0
