Unit_ID,District,Subdistrict,Village_No,Unit_No,Latitude,Longitude,Eligible_Voters,Voters_Showed_Up,Allocated_Ballots,Used_Ballots,Valid_Ballots,Invalid_Ballots,No_Vote_Ballots,Remaining_Ballots
KK10_โคกโพธิ์ไชย_บ้านโคก_M4_U1,โคกโพธิ์ไชย,บ้านโคก,4,1,15.9667,102.4333,673,426.0,680.0,426.0,398.0,14.0,14.0,254.0
KK10_โคกโพธิ์ไชย_บ้านโคก_M2_U2,โคกโพธิ์ไชย,บ้านโคก,2,2,15.9667,102.4333,782,506.0,800.0,506.0,475.0,20.0,11.0,294.0
KK10_โคกโพธิ์ไชย_บ้านโคก_M5_U2,โคกโพธิ์ไชย,บ้านโคก,5,2,15.9667,102.4333,367,221.0,400.0,221.0,196.0,22.0,3.0,179.0
KK10_โคกโพธิ์ไชย_บ้านโคก_M2_U3,โคกโพธิ์ไชย,บ้านโคก,2,3,15.9667,102.4333,264,169.0,280.0,169.0,155.0,13.0,1.0,111.0
KK10_โคกโพธิ์ไชย_บ้านโคก_M3_U3,โคกโพธิ์ไชย,บ้านโคก,3,3,15.9667,102.4333,420,279.0,420.0,279.0,256.0,15.0,8.0,141.0
KK10_โคกโพธิ์ไชย_บ้านโคก_M1_U4,โคกโพธิ์ไชย,บ้านโคก,1,4,15.9667,102.4333,700,423.0,720.0,423.0,377.0,41.0,5.0,297.0
KK10_โคกโพธิ์ไชย_บ้านโคก_M7_U4,โคกโพธิ์ไชย,บ้านโคก,7,4,15.9667,102.4333,660,451.0,660.0,451.0,421.0,23.0,7.0,209.0
KK10_โคกโพธิ์ไชย_บ้านโคก_M10_U5,โคกโพธิ์ไชย,บ้านโคก,10,5,15.9667,102.4333,341,204.0,360.0,204.0,193.0,8.0,3.0,156.0
KK10_โคกโพธิ์ไชย_บ้านโคก_M8_U5,โคกโพธิ์ไชย,บ้านโคก,8,5,15.9667,102.4333,564,393.0,600.0,393.0,376.0,14.0,3.0,207.0
KK10_โคกโพธิ์ไชย_บ้านโคก_M11_U6,โคกโพธิ์ไชย,บ้านโคก,11,6,15.9667,102.4333,418,262.0,420.0,262.0,243.0,14.0,5.0,158.0
